Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"praha, poděbradská 1189/62 -tesla hloubětín, česká republika","Praha, Poděbradská 1189/62 -Tesla Hloubětín, Česká republika",,2026-09-09,128,Více než 60 dnů,zelená,2026-09-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",343,2024,,,,Praha,ASTIP STRONG Liftback 60/40kVA/3F-45 minut,,,,,,,,,,,9/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Vedral OptimCare -771 500 078, Technik objektu Urban 778 743 149","Praha, Poděbradská 1189/62 -Tesla Hloubětín",,,
"praha, poděbradská 20, ubytovací zařízení, česká republika","Praha, Poděbradská 20, ubytovací zařízení, Česká republika",2026-02-27,2026-02-27,-66,Po termínu,červená,2026-02-27 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",477,2021,ano,,,Praha,ASTIP STRONG 15kVA/3F-45 minut,,,,27/26,,,,,,,,,,,,"pan Opletal, chce revize 1 x ročně, uznaná záruka do 5/26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Opletal 777 168 685,"Praha, Poděbradská 20, ubytovací zařízení",,,
"praha, poděbradská 489/116, oc hloubětín, česká republika","Praha, Poděbradská 489/116, OC Hloubětín, Česká republika",2026-04-01,2026-10-01,150,Více než 60 dnů,zelená,2026-04-01 (proběhlá); 2026-10-01 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,284,2017,,,Lipovec 775 906 522,Praha,ASTIP PS 7500/3F-30 minut,"Praha, Poděbradská 489/116, OC Hloubětín",,,!!!!,,1/26,,,,,,1/26,,,,"!!!! -ozvst dr fopředu, aby odpojili vzduchitechniku, měly by se taé měnit aku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, polyfunkční objekt dlouhá, česká republika","Praha, polyfunkční objekt Dlouhá, Česká republika",2025-12-02,2026-06-02,29,7–30 dnů,oranžová,2025-12-02 (proběhlá); 2026-06-02 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,285,2021,ano,ano,"Obermajer 606 720 850, Jalamudis 724 079 964",Praha,"ASTIP STRONG 80kVA/30kVA/3F -10,45,60 minut","Praha, polyfunkční objekt Dlouhá",,,,,,,2/26,,,,,,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, pomořanská 486/7, bd, česká republika","Praha, Pomořanská 486/7, BD, Česká republika",,2026-05-06,2,Méně než 7 dnů,červená,2026-05-06 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",478,2019,,,,Praha,ASTIP STRONG 1 000/3F - 30 minut,,,,,,,6/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Balušík 774 484 486,"Praha, Pomořanská 486/7, BD",,,
"praha, primátorská 36, bd, česká republika","Praha, Primátorská 36, BD, Česká republika",2025-09-17,2025-09-17,-229,Po termínu,červená,2025-09-17 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",479,2018,,,,Praha,ASTIP PS 3 000/3F - 45 minut,,,,,,,,,,,17/25,,,,,2.7.2024 - objednáno...28.6.2024 - posílám aktualitzaci CN - radek.ponocny@horren.cz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Radek Ponocný 777 008 961,"Praha, Primátorská 36, BD",,,
"praha, radlická 142, bd, česká republika","Praha, Radlická 142, BD, Česká republika",,2027-01-29,270,Více než 60 dnů,zelená,2027-01-29 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",480,2015,,,,Praha,"PS 15kVA/3f, 45 min",,,29/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Petr Freisler -725 831 663,"Praha, Radlická 142, BD",,,
"praha, redapiú, revoluční 1201/18, česká republika","Praha, Redapiú, Revoluční 1201/18, Česká republika",2020-12-18,2021-06-18,-1781,Po termínu,červená,2020-12-18 (proběhlá); 2021-06-18 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,286,zdroj není,ano,,,Praha,Rectifier 12 kVA-45min,"Praha, Redapiú, Revoluční 1201/18",,,,,,,18/21,,,,,,18/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, redapiú, žitná, česká republika","Praha, Redapiú, Žitná, Česká republika",2022-03-03,,,Bez termínu,šedá,2022-03-03 (proběhlá); 2022-12-01 (nezjištěno),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,287,2016,zrušena 16.2.2023,,Pokuta 728 177 181,Praha,PS 10kVA-45min,"Praha, Redapiú, Žitná",,,,3/22,,,,,,,,,1/22,,"2021 - Revoluční, konec zdroje, vyměnili za jiný ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, rezidence českobratrská, zuckerstein, česká republika","Praha, Rezidence Českobratrská, Zuckerstein, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",481,bez,,,,Praha,  PS 2000/3f-45 minut,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,p. Kelner - 602 138 770,"Praha, Rezidence Českobratrská ,Zuckerstein",,,
"praha, rorýsova 7, 1, česká republika","Praha, Rorýsova 7, 1, Česká republika",,2027-04-08,339,Více než 60 dnů,zelená,2027-04-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",482,2017,,,,Praha,"PS 20kVA3F -10 minut, ASTIP PS 75 kVA/3f 45 minut",,,,,,8/27-Ror.1 +14/27-Ror. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Praha, Rorýsova 7, 1",,,
"praha, rudná zš, česká republika","Praha, Rudná ZŠ, Česká republika",2021-10-20,2021-10-20,-1657,Po termínu,červená,2021-10-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",483,2019,,,,Praha,R-SOZ,,,,,,,,,,,,20/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corradini 724 230 992,"Praha, Rudná ZŠ",,,
"praha, sanderova 1616, 1618 prague marina, česká republika","Praha, Sanderova 1616, 1618 Prague Marina, Česká republika",2025-10-23,2026-04-23,-11,Po termínu,červená,2025-10-23 (proběhlá); 2026-04-23 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,292,2017,,,Veselý (někdo inej) - 606 565 657,Praha,"PS 100kVA/3f-60 minut + RPO, PS 75kVA","Praha, Sanderova 1616,1618 Prague Marina",,,,,23/26,,,,,,23/25,,,,a  Sanderova 1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, sazovická 488, česká republika","Praha, Sazovická 488, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",488,,,,,Praha,4 x zdroj ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Praha, Sazovická 488",,,
"praha, sazovická 507, česká republika","Praha, Sazovická 507, Česká republika",2022-02-18,,,Bez termínu,šedá,2022-02-18 (nezjištěno),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",486,2017,,,,Praha,PS 10 000/3f-45 min,,,,18/22,,,,,,,,,,,,"18.2.2021 -provedena kontrola s UPS.CZ - Horálkem, pozvali nás na součinnost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Praha, Sazovická 507",,,
"praha, sazovická 508, česká republika","Praha, Sazovická 508, Česká republika",2026-02-04,2026-02-04,-89,Po termínu,červená,2026-02-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",487,"2018, 2017",,ano,,Praha,"PS 20kVA/3F-30 minut, STRONG 244/1F",,,,4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Frejka Lukáš,"Praha, Sazovická 508",,,
"praha, sestupná 7, bd, česká republika","Praha, Sestupná 7, BD, Česká republika",,2026-12-11,221,Více než 60 dnů,zelená,2026-12-11 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",489,2017,,,,Praha,STRONG 2000/3F-60 minut,,,,,,,,,,,,,,11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bokštefl - 724 034 858,"Praha, Sestupná 7, BD",,,
"praha, sevastopolská 3, bd, česká republika","Praha, Sevastopolská 3, BD, Česká republika",2025-07-25,2025-07-25,-283,Po termínu,červená,2025-07-25 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",490,2023,ano,,,Praha,ASTIP STRONG 4kVA/3F - 45 minut,,,,,,,,,25/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tušová 606 160 326,"Praha, Sevastopolská 3, BD",,,
"praha, sezemínská 5, česká republika","Praha, Sezemínská 5, Česká republika",2026-01-23,2026-01-23,-101,Po termínu,červená,2026-01-23 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",491,2014,,,,Praha,  PS 15 000/3f-45 minut,,,23/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Jan Nový - 607 931 086,"Praha, Sezemínská 5",,,
"praha, sokolovská 713-111c + rohanské nábřeží 713-6, bd fragment, česká republika","Praha, Sokolovská 713-111c + Rohanské nábřeží 713-6, BD Fragment, Česká republika",2026-03-19,2026-09-19,138,Více než 60 dnů,zelená,2026-03-19 (proběhlá); 2026-09-19 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,294,2022,,,Sýkora - Trigema 778 530 011,Praha,STRONG 280kVA/75kVA/3F -60 minut          STRONG 37kVA/10kVA/3F -60 minut,"Praha, Sokolovská 713-111c +  Rohanské nábřeží 713-6, BD Fragment",,,,19/26,,,,,,19/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, sokolská 42, hotel joy, česká republika","Praha, Sokolská 42, Hotel Joy, Česká republika",2024-11-27,2024-11-27,-523,Po termínu,červená,2024-11-27 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,293,2021,,,Adam 608 273 509,Praha,ASTIP STRONG 20kVA/3F-60 minut,"Praha, Sokolská 42, Hotel Joy",,,,,,,,,,,,27/24,,,17.3.2025 poslán mail  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"praha, soukalova, čs exilu, u dubu, česká republika","Praha, Soukalova, Čs exilu, U Dubu, Česká republika",,2027-01-15,256,Více než 60 dnů,zelená,2027-01-15 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",492,2016 -2020,,,,Praha,3x záložní zdroj + C - 20kVA,,,15/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1, Varvařovský - 777 68 22 28,"Praha, Soukalova, Čs exilu, U Dubu",,12200,
"praha, spálená 12, městská poliklinika, česká republika","Praha, Spálená 12, městská poliklinika, Česká republika",2026-04-01,2026-10-01,150,Více než 60 dnů,zelená,2026-04-01 (proběhlá); 2026-10-01 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,295,2025,,ano,Knobloch 602 321 377,Praha,ASTIP STRONG 42/4kVA/3F-30 minut,"Praha, Spálená 12, městská poliklinika",,,,,1/26,,,,,,1/26,,,,"pozor, poslat 30 dnů před termínem, mail na knobloch@hmr.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, spálená 16, bd, česká republika","Praha, Spálená 16, BD, Česká republika",2025-09-04,2025-09-04,-242,Po termínu,červená,2025-09-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",496,2017,,,,Praha,ASTIP STRONG 2000/3F-45 minut,,,,,,,,,,,4/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Miloš Pavlík 702 279 766,"Praha, Spálená 16, BD",,,
"praha, starokošířská 13, bd, česká republika","Praha, Starokošířská 13, BD, Česká republika",,2027-01-29,270,Více než 60 dnů,zelená,2027-01-29 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",493,2024,ano,ano,,Praha,ASTIP STRONG 97/20kVA/3F-45 minut,,,29/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Libor Janda 775 351 315,"Praha, Starokošířská 13, BD",,,
"praha, staropramenná 17a, bd, česká republika","Praha, Staropramenná 17A, BD, Česká republika",,2027-02-19,291,Více než 60 dnů,zelená,2027-02-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",497,2021,,,,Praha,ASTIP STRONG 7500VA/3F -45 minut,,,,19/27,,,,,,,,,,,,2025 -aktuálně se řeší M.Ledvina x Honza Soldán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Gustav Šimáček 724 025 272,"Praha, Staropramenná 17A , BD",,,
"praha, stodůlky, k zahrádkám 4, česká republika","Praha, Stodůlky, K zahrádkám 4, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,307,"2015, 2012",,,"je i 5,6 složka",Praha,Astip PS 3000/3f – 20 minut,"Praha,Stodůlky, K zahrádkám 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"praha, stočesova 1195/7, bd eva 2, česká republika","Praha, Stočesova 1195/7, BD Eva 2, Česká republika",,2027-04-14,345,Více než 60 dnů,zelená,2027-04-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",495,2025,ano,,,Praha,ASTIP STRONG 4 000VA/1F -45 minut,,,,,,14/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Stočesova 1195/7, BD Eva 2",,,
"praha, stočesova 1196/10, bd cecilie 2, česká republika","Praha, Stočesova 1196/10, BD Cecilie 2, Česká republika",,2027-04-14,345,Více než 60 dnů,zelená,2027-04-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",494,2025,ano,,,Praha,ASTIP STRONG 4 000VA/1F -45 minut,,,,,,14/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Stočesova 1196/10, BD Cecilie 2",,,
"praha, sámova 1574/12, česká republika","Praha, Sámova 1574/12, Česká republika",2025-12-02,2025-12-02,-153,Po termínu,červená,2025-12-02 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",485,2020,,,,Praha,"ASTIP STRONG 60 kVA/30kVA/3F - 30 minut, STRONG 20kVA/3F -45 minut",,,,,,,,,,,,,,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Pan Vacek J.B. babylon, 602 325 059","Praha, Sámova 1574_12",,,
"praha, tančící dům, česká republika","Praha, Tančící dům, Česká republika",2025-02-06,2025-08-06,-271,Po termínu,červená,2024-10-29 (proběhlá); 2025-02-06 (proběhlá); 2025-04-29 (plánovaná); 2025-07-22 (plánovaná); 2025-08-06 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,296,2016,,,p. Rubeš - 602 642 184,Praha,ASTIP PS 3000/3f-45 minut + PS 20kVA/3F-45 minut,"Praha, Tančící dům",,,6/25-3kVA,,29/25,,,22/25-20kVA,6/25 -3kVA,,29/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
"praha, thomasova 229 -bd západní město m, česká republika","Praha, Thomasova 229 -BD Západní město M, Česká republika",,2026-10-01,150,Více než 60 dnů,zelená,2026-10-01 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",504,2022,ano,,,Praha,ASTIP STRONG 20kVA/3F-45 minut,,,,,,,,,,,,1/26,,,,vzít novou pomocku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Thomasova 229 -BD Západní město M",,,
"praha, thomasova 230 -bd západní město l2, česká republika","Praha, Thomasova 230 -BD Západní město L2, Česká republika",,2026-10-01,150,Více než 60 dnů,zelená,2026-10-01 (nezjištěno),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",505,2022,ano,,,Praha,ASTIP STRONG 20kVA/3F-45 minut,,,,,,,,,,,,1/26,,,,"2025 -pozor, vyměnit co nejdříve nabíječku v rámci záruky ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Thomasova 230 -BD Západní město L2",,,
"praha, thomasova 235, bd západní město n1, česká republika","Praha, Thomasova 235, BD Západní město N1, Česká republika",,2026-12-10,220,Více než 60 dnů,zelená,2026-12-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",506,2023,ano,,,Praha,ASTIP STRONG 99kVA/15kVA/3F -45 minut,,,,,,,,,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Thomasova 235 - BD Západní město N1",,,
"praha, thomasova 235, bd západní město n2, česká republika","Praha, Thomasova 235, BD Západní město N2, Česká republika",,2026-12-10,220,Více než 60 dnů,zelená,2026-12-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",507,2023,ano,,,Praha,ASTIP STRONG 99kVA/15kVA/3F -45 minut,,,,,,,,,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Thomasova 235 - BD Západní město N2",,,
"praha, thunovská 22, bd, česká republika","Praha, Thunovská 22, BD, Česká republika",,2026-09-24,143,Více než 60 dnů,zelená,2026-09-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",508,2024,,,,Praha,Astip LiftBack 5kVA/3f -dojezd,,,,,,,,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mach 608 320 521,"Praha, Thunovská 22, BD",,,
"praha, toufarova c, d, h, i -3, 5, 6, 8, česká republika","Praha, Toufarova C, D, H, I -3, 5, 6, 8, Česká republika",2025-11-13,2027-03-31,331,Více než 60 dnů,zelená,2025-11-13 (plánovaná); 2027-03-31 (plánovaná); 2027-04-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",509,"2016, 2018",,,,Praha,4 x zdroj + 4 x S2 na zvonky,,,,,31/27-6,8/27-8,,,,,,,"13/25-6 stop stav, 5-13/26, 6/26-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Soška  obj. 3+5 - 727 989 361       Ježek obj. 6+8 725 496 507,"Praha, Toufarova C,D,H,I -3,5,6,8",,,
"praha, tůmova 1337/9, česká republika","Praha, Tůmova 1337/9, Česká republika",2024-02-01,2024-02-01,-823,Po termínu,červená,2024-02-01 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",510,2019,,,,Praha,"STRONG 30kVA/7,5kVA-3F -30 minut",,,,1/24,,,,,,,,,,,,4.3.2025 -poslán mail Šárové,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Šára 775 258 432,"Praha, Tůmova 1337/9",,,
"praha, u elektrárny 817, česká republika","Praha, U Elektrárny 817, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",511,2017,ano,,,Praha,"PS 2000/3f OFF-LINE 20min, RPO",,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Praha, U Elektrárny 817",,5100,
"praha, u hostivařského nádraží 1651, bd, česká republika","Praha, U Hostivařského nádraží 1651, BD, Česká republika",,2027-03-25,325,Více než 60 dnů,zelená,2027-03-25 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",512,2021,,,,Praha,ASTIP STRONG 74kVA/10kVA/3F -15 minut,,,,,25/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Jiří Šíma 608 666 564,"Praha, U Hostivařského nádraží 1651, BD",,,
"praha, u milosrdných 800/16 x kozí, česká republika","Praha, U Milosrdných 800/16 x Kozí, Česká republika",2024-05-19,2024-05-19,-715,Po termínu,červená,2022-06-24 (plánovaná); 2024-05-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",513,2021,ano,,,Praha,  PS 10kVA/3f-30 minut + 5kVA - ONLINE,,,,,,,19/24 -Milosrdných,24/22,,,,,,,,"strašné potíže s naší firmou, pan Houba byl už zoufalý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Erik Houba 739 314 868, houba.erik@seznam.cz","Praha, U Milosrdných 800/16 x Kozí",,,
"praha, u mlýnského kanálu 16, bd, port karolina b, česká republika","Praha, U mlýnského kanálu 16, BD, PORT KAROLINA B, Česká republika",2026-01-22,2026-01-22,-102,Po termínu,červená,2026-01-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",514,2019,,,,Praha,ASTIP STRONG 40kVA/3F-45 minut ,,,22/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pan Šrepl AVEMA - správa nemovitostí
727 875 750
Domovnk objektu - pan Borovička    602 143 824","Praha, U mlýnského kanálu 16 -  BD - PORT KAROLINA B ",,,
